GWAS_ID	sourceId	Category	cell_types	rationale	traitFromSource	nSamples	nCases	publicationFirstAuthor	publicationDate	pubmedId	finemappingMethod	available_credible_sets	study_url
LymphocyteCount_Vuckovic2020	GCST90002388	blood_cell_counts	B;T;NK	Broad lymphocyte abundance proxy; does not distinguish NK from B or T cells.	Lymphocyte count	408112	0	Vuckovic D	2020-09-01	32888494	SuSiE-inf	923	https://pubmed.ncbi.nlm.nih.gov/32888494/
MonocyteCount_Vuckovic2020	GCST90002393	blood_cell_counts	Mono	Direct monocyte abundance phenotype.	Monocyte count	408112	0	Vuckovic D	2020-09-01	32888494	SuSiE-inf	967	https://pubmed.ncbi.nlm.nih.gov/32888494/
UlcerativeColitis_Liu2023	GCST90446794	immune_gut	Colonocyte;T;B;Mono;Goblet	Epithelial barrier and immune disease; shared cellular mechanisms.	Ulcerative colitis	375508	23252	Liu Z	2023-05-08	37156999	SuSiE-inf	162	https://pubmed.ncbi.nlm.nih.gov/37156999/
MultipleSclerosis_IMSGC2019	GCST009597	immune_brain	Microglia;T;B;Oligodendrocyte;OPC	Susceptibility implicates peripheral immune cells and microglia; oligodendrocytes are disease targets rather than established origin of inherited risk.	Multiple sclerosis	41505	14802	International Multiple Sclerosis Genetics Consortium	2019-09-01	31604244	PICS	140	https://pubmed.ncbi.nlm.nih.gov/31604244/
BMI_Verma2024	GCST90475159	neuronal_metabolic	Inhibitory_neuron	Broad energy-balance phenotype; not a negative control in a brain-containing atlas.	Body mass index (BMI, minimum, inv-normal transformed)	424217	0	Verma A	2024-07-19	39024449	SuSiE-inf	2128	https://pubmed.ncbi.nlm.nih.gov/39024449/
EducationalAttainment_Okbay2022	GCST90105038	neuronal_complex	Inhibitory_neuron	Broad neuronal comparator with social and indirect genetic effects; not cell-type specific or a negative control.	Educational attainment	3037499	0	Okbay A	2022-03-31	35361970	PICS	1598	https://pubmed.ncbi.nlm.nih.gov/35361970/
Asthma_Zhou2022_EUR	GCST90399686	lung_immune	Airway_secretory;T	Airway epithelial and immune mechanisms; selected for extensive SuSiE-inf coverage.	Asthma	1376071	121940	Zhou W	2022-10-12	36777996	SuSiE-inf	159	https://pubmed.ncbi.nlm.nih.gov/36777996/
IPF_Zhou2022_EUR	GCST90399720	lung_fibrosis	Alveolar_type_2;Airway_secretory;Fibroblast	Alveolar epithelial injury and fibrotic remodelling; shared rather than exclusive cell-type origin.	Idiopathic pulmonary fibrosis	953873	6257	Zhou W	2022-10-12	36777996	SuSiE-inf	16	https://pubmed.ncbi.nlm.nih.gov/36777996/
LungAdenocarcinoma_McKay2017	GCST004744	lung_cancer	Alveolar_type_2;Airway_secretory	Lung epithelial cancer susceptibility; histology does not establish a unique normal cell of origin.	Lung adenocarcinoma	66756	11273	McKay JD	2017-06-12	28604730	SuSiE-inf	13	https://pubmed.ncbi.nlm.nih.gov/28604730/
FEV1_Shrine2023	GCST90244092	lung_function	Airway_secretory;Alveolar_type_2;Smooth_muscle	Broad pulmonary physiology; lung-function GWAS implicates epithelial and smooth-muscle biology.	Lung function (FEV1)	588452	0	Shrine N	2023-03-13	36914875	PICS	196	https://pubmed.ncbi.nlm.nih.gov/36914875/
FEV1FVC_Shrine2023	GCST90244094	lung_function	Airway_secretory;Smooth_muscle	Airflow obstruction physiology; complementary to FEV1.	Lung function (FEV1/FVC)	588452	0	Shrine N	2023-03-13	36914875	PICS	318	https://pubmed.ncbi.nlm.nih.gov/36914875/
Alzheimer_Bellenguez2022	GCST90027158	neurodegeneration	Microglia	Strong microglial and innate-immune susceptibility evidence; also involves other brain cells.	Alzheimer's disease	487511	85934	Bellenguez C	2022-04-04	35379992	SuSiE-inf	79	https://pubmed.ncbi.nlm.nih.gov/35379992/
Schizophrenia_Trubetskoy2022	GCST90128471	neuronal_disease	Inhibitory_neuron;Granule_neuron	GWAS enrichment in excitatory and inhibitory neurons; granule neurons are a broader excitatory-lineage comparator.	Schizophrenia	175799	74776	Trubetskoy V	2022-04-08	35396580	PICS	222	https://pubmed.ncbi.nlm.nih.gov/35396580/
GeneralizedEpilepsy_ILAE2023	GCST90271609	neuronal_disease	Inhibitory_neuron	Neuronal excitability disease; not specific to inhibitory neurons.	Genetic generalized epilepsy	59945	7407	International League Against Epilepsy Consortium on Complex Epilepsies	2023-08-31	37653029	PICS	20	https://pubmed.ncbi.nlm.nih.gov/37653029/
Glioma_Melin2017	GCST004347	glial_cancer	Astrocyte;Oligodendrocyte;OPC	Exploratory glial-lineage cancer comparator; tumour class does not prove mature astrocyte or oligodendrocyte origin.	Glioma	30659	12469	Melin BS	2017-03-27	28346443	PICS	10	https://pubmed.ncbi.nlm.nih.gov/28346443/
WhiteMatterHyperintensity_Sargurupremraj2020	GCST011946	brain_vascular_glial	Oligodendrocyte;Astrocyte;Pericyte;Endothelial	White-matter injury and small-vessel disease proxy; mixed glial and vascular biology.	White matter hyperintensity volume	50970	0	Sargurupremraj M	2020-12-08	33293549	PICS	17	https://pubmed.ncbi.nlm.nih.gov/33293549/
DTIALPS_Total_Ran2025	GCST90455546	brain_perivascular	Astrocyte;Pericyte;Endothelial	Exploratory glymphatic/perivascular MRI proxy; not direct pericyte abundance or PVS morphology; only three available credible sets.	Total diffusion tensor imaging along the perivascular space index	31629	0	Ran L	2025-01-17	39823331	SuSiE-inf	3	https://pubmed.ncbi.nlm.nih.gov/39823331/
CLL_Guler2025	GCST90624738	B_cell_disease	B	B-cell malignancy; more cases and available loci than several population-biobank alternatives.	Chronic lymphocytic leukemia	1108777	4442	Guler M	2025-08-29	40883272	PICS	29	https://pubmed.ncbi.nlm.nih.gov/40883272/
Lupus_Bentham2015	GCST003155	immune_disease	B;T;Mono;pDC;Plasma	Autoimmune susceptibility involving B/plasma-cell antibodies and pDC/type-I-interferon biology, alongside broader immune mechanisms.	Systemic lupus erythematosus	14267	5201	Bentham J	2015-10-26	26502338	PICS	41	https://pubmed.ncbi.nlm.nih.gov/26502338/
