motif_family	motif_id	TF_name	TF_class
cluster_001	MA0655.1	JDP2	Basic leucine zipper factors (bZIP)
cluster_001	MA0774.1	MEIS2	Homeo domain factors
cluster_001	MA1633.2	BACH1	Basic leucine zipper factors (bZIP)
cluster_001	MA1988.2	Atf3	Basic leucine zipper factors (bZIP)
cluster_001	MA0591.2	Bach1::Mafk	Basic leucine zipper factors (bZIP)
cluster_001	MA0496.4	MAFK	Basic leucine zipper factors (bZIP)
cluster_001	MA1101.3	BACH2	Basic leucine zipper factors (bZIP)
cluster_001	MA1634.2	BATF	Basic leucine zipper factors (bZIP)
cluster_001	MA0462.3	BATF::JUN	Basic leucine zipper factors (bZIP)
cluster_001	MA0489.3	Jun	Basic leucine zipper factors (bZIP)
cluster_001	MA0835.3	BATF3	Basic leucine zipper factors (bZIP)
cluster_001	MA1928.2	BNC2	C2H2 zinc finger factors
cluster_001	MA0476.2	FOS	Basic leucine zipper factors (bZIP)
cluster_001	MA0099.4	FOS::JUN	Basic leucine zipper factors (bZIP)
cluster_001	MA1134.2	FOS::JUNB	Basic leucine zipper factors (bZIP)
cluster_001	MA0490.3	JUNB	Basic leucine zipper factors (bZIP)
cluster_001	MA1141.2	FOS::JUND	Basic leucine zipper factors (bZIP)
cluster_001	MA0491.3	JUND	Basic leucine zipper factors (bZIP)
cluster_001	MA1135.2	FOSB::JUNB	Basic leucine zipper factors (bZIP)
cluster_001	MA0477.3	FOSL1	Basic leucine zipper factors (bZIP)
cluster_001	MA1128.2	FOSL1::JUN	Basic leucine zipper factors (bZIP)
cluster_001	MA1137.2	FOSL1::JUNB	Basic leucine zipper factors (bZIP)
cluster_001	MA1142.2	FOSL1::JUND	Basic leucine zipper factors (bZIP)
cluster_001	MA0478.2	FOSL2	Basic leucine zipper factors (bZIP)
cluster_001	MA1130.2	FOSL2::JUN	Basic leucine zipper factors (bZIP)
cluster_001	MA1138.2	FOSL2::JUNB	Basic leucine zipper factors (bZIP)
cluster_001	MA1144.2	FOSL2::JUND	Basic leucine zipper factors (bZIP)
cluster_001	MA0739.2	Hic1	C2H2 zinc finger factors
cluster_001	MA0738.2	HIC2	C2H2 zinc finger factors
cluster_001	MA1132.2	JUN::JUNB	Basic leucine zipper factors (bZIP)
cluster_001	MA1520.2	MAF	Basic leucine zipper factors (bZIP)
cluster_001	MA0501.2	MAF::NFE2	Basic leucine zipper factors (bZIP)
cluster_001	MA0841.2	NFE2	Basic leucine zipper factors (bZIP)
