motif_family	short_name	display_name	TF_members	motif_ids	TF_classes
cluster_001	AP-1 / MAF-rich	AP-1 / MAF-rich · 001	ATF3; BACH1; BACH1::MAFK; BACH2; BATF; BATF::JUN; BATF3; BNC2; FOS; FOS::JUN; FOS::JUNB; FOS::JUND; FOSB; FOSB::JUNB; FOSL1; FOSL1::JUN; FOSL1::JUNB; FOSL1::JUND; FOSL2; FOSL2::JUN; FOSL2::JUNB; FOSL2::JUND; HIC1; HIC2; JDP2; JUN; JUN::JUNB; JUNB; JUND; MAF; MAF::NFE2; MAFA; MAFG; MAFG::NRF1; MAFK; MEIS1; MEIS2; MEIS3; NFE2; NFE2L2; NFIA; NFIC; NFIX; PBX3; PKNOX1; ZNF274	MA0089.3; MA0099.4; MA0150.3; MA0161.3; MA0462.3; MA0476.2; MA0477.3; MA0478.2; MA0489.3; MA0490.3; MA0491.3; MA0496.4; MA0498.3; MA0501.2; MA0591.2; MA0655.1; MA0659.4; MA0670.2; MA0671.2; MA0738.2; MA0739.2; MA0774.1; MA0775.2; MA0782.3; MA0835.3; MA0841.2; MA1101.3; MA1114.2; MA1128.2; MA1130.2; MA1132.2; MA1134.2; MA1135.2; MA1137.2; MA1138.2; MA1141.2; MA1142.2; MA1144.2; MA1520.2; MA1521.2; MA1592.2; MA1633.2; MA1634.2; MA1928.2; MA1988.2; MA2486.1	Basic leucine zipper factors (bZIP); Basic leucine zipper factors (bZIP)::Uncharacterized; C2H2 zinc finger factors; Homeo domain factors; SMAD/NF-1 DNA-binding domain factors
cluster_002	ETS-rich	ETS-rich · 002	DMTF1; EHF; ELF1; ELF2; ELF3; ELF4; ELF5; ELK1; ELK1::HOXA1; ELK1::HOXB13; ELK3; ELK4; ERF; ERF::FIGLA; ERF::FOXI1; ERF::FOXO1; ERF::HOXB13; ERG; ETS1; ETS2; ETV1; ETV2; ETV2::DRGX; ETV2::FIGLA; ETV2::FOXI1; ETV2::HOXB13; ETV3; ETV4; ETV5; ETV5::DRGX; ETV5::FIGLA; ETV5::FOXI1; ETV5::FOXO1; ETV5::HOXA2; ETV6; ETV7; FEV; FLI1; FLI1::DRGX; FLI1::FOXI1; FOXJ2::ELF1; FOXO1::ELF1; FOXO1::ELK1; FOXO1::ELK3; FOXO1::FLI1; GABPA; HOXB2::ELK1; HOXD12::ELK1; IKZF1; IKZF3; SPDEF; SPI1; SPIB; SPIC; TFAP4::ETV1; TFAP4::FLI1; TFCP2L1; ZBTB11; ZBTB2; ZIM3; ZNF140; ZNF175; ZNF728	MA0028.3; MA0062.4; MA0076.3; MA0080.7; MA0081.3; MA0098.4; MA0136.4; MA0145.2; MA0156.4; MA0473.4; MA0474.4; MA0475.3; MA0598.4; MA0640.3; MA0641.1; MA0645.2; MA0686.2; MA0687.2; MA0759.3; MA0760.2; MA0761.3; MA0762.2; MA0763.2; MA0764.4; MA0765.4; MA1483.3; MA1484.2; MA1508.2; MA1589.3; MA1708.2; MA1709.2; MA1931.1; MA1932.2; MA1934.2; MA1935.2; MA1936.2; MA1937.2; MA1940.2; MA1941.2; MA1942.2; MA1943.2; MA1944.2; MA1945.2; MA1946.2; MA1947.2; MA1948.2; MA1949.2; MA1950.2; MA1952.2; MA1953.2; MA1954.2; MA1955.2; MA1956.2; MA1957.1; MA1958.2; MA1966.2; MA1967.2; MA1992.2; MA2329.1; MA2332.1; MA2340.1; MA2589.1; MA2594.1	Basic helix-loop-helix factors (bHLH)::Tryptophan cluster factors; C2H2 zinc finger factors; Fork head/winged helix factors::Tryptophan cluster factors; Grainyhead domain factors; Homeo domain factors::Tryptophan cluster factors; Tryptophan cluster factors; Tryptophan cluster factors::Basic helix-loop-helix factors (bHLH); Tryptophan cluster factors::Fork head/winged helix factors; Tryptophan cluster factors::Homeo domain factors
cluster_003	GATA-rich	GATA-rich · 003	GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; MECOM; TRPS1; ZGLP1	MA0029.2; MA0035.5; MA0036.4; MA0037.5; MA0482.3; MA0766.3; MA1104.3; MA1970.2; MA2557.1	C2H2 zinc finger factors; Other C4 zinc finger-type factors
cluster_004	NFI-rich	NFI-rich · 004	NFIB; NFIC; NFIC::TLX1; NFIX; ZNF454	MA0119.1; MA1527.2; MA1528.2; MA1643.2; MA1712.2	C2H2 zinc finger factors; SMAD/NF-1 DNA-binding domain factors; SMAD/NF-1 DNA-binding domain factors::Homeo domain factors
cluster_005	RFX-rich	RFX-rich · 005	RFX1; RFX2; RFX3; RFX4; RFX5; RFX6; RFX7; ZNF547	MA0509.3; MA0510.3; MA0600.3; MA0798.3; MA0799.3; MA1554.2; MA1724.2; MA2334.1	C2H2 zinc finger factors; Fork head/winged helix factors
cluster_006	HSF / STAT / BCL6	HSF / STAT / BCL6 · 006	BCL6; BCL6B; HSF1; HSF2; HSF4; STAT1; STAT3; STAT4; STAT5A; STAT5A::STAT5B; STAT5B; STAT6	MA0137.4; MA0144.3; MA0463.3; MA0486.2; MA0518.2; MA0519.2; MA0520.2; MA0731.1; MA0770.1; MA0771.1; MA1624.2; MA1625.2	C2H2 zinc finger factors; Heat shock factors; STAT domain factors
cluster_007	FOX / MEF2-rich	FOX / MEF2-rich · 007	BARHL1; BARHL2; FOXA1; FOXA2; FOXA3; FOXB1; FOXC1; FOXC2; FOXD1; FOXD2; FOXD3; FOXE1; FOXF1; FOXF2; FOXG1; FOXI1; FOXJ2; FOXJ3; FOXK1; FOXK2; FOXL1; FOXL2; FOXM1; FOXN3; FOXO1; FOXO3; FOXO4; FOXO6; FOXP1; FOXP2; FOXP3; FOXP4; FOXQ1; FOXS1; HMGA1; MEF2A; MEF2B; MEF2C; MEF2D; ZNF362; ZNF384	MA0030.2; MA0031.2; MA0032.2; MA0033.2; MA0040.2; MA0041.3; MA0042.2; MA0047.4; MA0052.5; MA0148.5; MA0157.4; MA0480.3; MA0481.4; MA0497.2; MA0593.2; MA0613.1; MA0614.1; MA0635.2; MA0660.1; MA0773.1; MA0845.1; MA0846.2; MA0847.4; MA0848.1; MA0849.1; MA0850.1; MA0851.2; MA0852.3; MA0877.4; MA1103.3; MA1125.2; MA1487.3; MA1489.1; MA1606.2; MA1607.2; MA1683.2; MA2117.1; MA2118.1; MA2124.1; MA2469.1; MA2593.1	C2H2 zinc finger factors; Fork head/winged helix factors; Homeo domain factors; MADS box factors; TATA-binding proteins
cluster_008	Homeodomain-rich	Homeodomain-rich · 008	ALX1; ALX3; ARGFX; BARX1; BSX; CRX; DLX1; DLX2; DLX3; DLX4; DLX5; DLX6; DMBX1; DPRX; DRGX; EMX1; EMX2; EN1; EN2; ESX1; EVX1; EVX2; GBX1; GBX2; GSC; GSC2; GSX1; GSX2; HESX1; HMBOX1; HMX1; HMX3; HOXA1; HOXA2; HOXA3; HOXA4; HOXA5; HOXA6; HOXA7; HOXB1; HOXB2; HOXB3; HOXB4; HOXB5; HOXB6; HOXB7; HOXB8; HOXC4; HOXC8; HOXD1; HOXD3; HOXD4; HOXD8; ISL1; ISX; LBX1; LBX2; LEUTX; LHX1; LHX2; LHX4; LHX5; LHX6; LHX8; LHX9; LMX1A; LMX1B; MEOX1; MEOX2; MIX-A; MIXL1; MNX1; MSX1; MSX2; MSX3; NANOG; NFYA; NFYB; NFYC; NKX6-1; NKX6-2; NKX6-3; NOBOX; NOTO; OTX1; OTX2; PAX4; PDX1; PITX1; PITX2; PITX3; POU6F1; POU6F2; PRRX1; PRRX2; RAX; RAX2; RHOXF1; SATB1; SHOX; SHOX2; TLX2; TPRX1; UNCX; VAX1; VAX2; VENTX; VSX1; VSX2; ZNF35	MA0027.3; MA0060.4; MA0068.2; MA0075.4; MA0125.2; MA0132.3; MA0158.2; MA0467.3; MA0502.3; MA0612.3; MA0618.2; MA0621.2; MA0628.2; MA0630.2; MA0634.2; MA0642.3; MA0644.3; MA0648.2; MA0654.2; MA0658.2; MA0661.2; MA0662.2; MA0666.3; MA0674.2; MA0675.2; MA0682.3; MA0699.2; MA0700.3; MA0701.3; MA0702.3; MA0703.3; MA0704.2; MA0705.2; MA0706.2; MA0707.3; MA0708.3; MA0709.2; MA0710.2; MA0711.2; MA0712.3; MA0714.2; MA0716.2; MA0717.2; MA0718.2; MA0719.2; MA0720.2; MA0721.2; MA0722.2; MA0723.3; MA0724.1; MA0725.2; MA0726.2; MA0793.2; MA0854.2; MA0875.2; MA0876.2; MA0879.3; MA0880.2; MA0881.2; MA0882.2; MA0883.2; MA0885.3; MA0886.2; MA0887.2; MA0888.2; MA0889.2; MA0890.2; MA0891.2; MA0892.2; MA0893.3; MA0894.2; MA0895.2; MA0896.2; MA0898.2; MA0900.3; MA0902.3; MA0903.2; MA0904.3; MA0910.3; MA0912.2; MA1463.2; MA1476.3; MA1480.2; MA1481.2; MA1495.2; MA1496.2; MA1497.2; MA1498.3; MA1499.2; MA1500.2; MA1501.2; MA1502.2; MA1504.2; MA1505.2; MA1507.2; MA1518.3; MA1519.2; MA1530.2; MA1547.2; MA1549.2; MA1577.2; MA1608.2; MA1644.2; MA1963.2; MA2093.1; MA2119.1; MA2333.1; MA2339.1; MA2597.1; MA2600.1; MA2677.1	C2H2 zinc finger factors; Heteromeric CCAAT-binding factors; Homeo domain factors; Paired box factors
cluster_009	T-box-rich	T-box-rich · 009	EOMES; GSC::TBX21; MGA; MGA::EVX1; TBR1; TBX1; TBX15; TBX18; TBX19; TBX2; TBX20; TBX21; TBX3; TBX4; TBX5; TBX6; TBXT; ZBTB47; ZNF18; ZNF652	MA0009.2; MA0688.2; MA0689.1; MA0690.3; MA0800.2; MA0801.1; MA0802.2; MA0803.1; MA0804.2; MA0805.1; MA0806.1; MA0807.1; MA1565.2; MA1566.3; MA1567.3; MA1657.2; MA1960.2; MA2492.1; MA2543.1; MA2629.1	C2H2 zinc finger factors; Homeo domain factors::T-Box factors; T-Box factors; T-Box factors::Homeo domain factors
cluster_010	SOX / TCF-LEF-rich	SOX / TCF-LEF-rich · 010	HNF1A; LEF1; SOX10; SOX11; SOX12; SOX13; SOX14; SOX15; SOX17; SOX18; SOX2; SOX3; SOX30; SOX4; SOX5; SOX6; SOX7; SOX8; SOX9; SRY; TCF7; TCF7L1; TCF7L2	MA0077.2; MA0078.3; MA0084.2; MA0087.3; MA0143.5; MA0442.3; MA0514.3; MA0515.1; MA0523.2; MA0768.3; MA0769.3; MA0867.3; MA0868.3; MA0869.3; MA1120.2; MA1152.2; MA1421.1; MA1561.2; MA1562.2; MA1563.2; MA1991.2; MA2095.1; MA2684.1	High-mobility group (HMG) domain factors; Homeo domain factors
